,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2018-12-31,12,2018-12-31,10.98,9.069999999999999,59.2,929.0600000000001,167.3,1.86,522.2,324.6,96.2
2019-01-01,1,2019-01-01,10.57,14.419999999999998,62.5,925.93,84.8,1.52,1.1,96.3,96.2
2019-01-02,1,2019-01-02,8.41,14.45,91.4,927.2299999999999,109.4,1.6400000000000001,275.8,259.5,146.1
2019-01-03,1,2019-01-03,9.318181818181818,7.427272727272728,70.0,928.7909090909089,167.36363636363637,1.7363636363636366,471.0,294.3636363636364,88.27272727272727
2019-01-04,1,2019-01-04,7.529999999999999,13.65,69.0,926.6600000000001,31.7,2.6100000000000003,9.1,96.7,92.3
2019-01-05,1,2019-01-05,7.463636363636365,14.954545454545455,92.45454545454545,926.4909090909091,79.54545454545455,1.5636363636363635,0.0,10.181818181818182,10.181818181818182
2019-01-06,1,2019-01-06,7.99090909090909,9.081818181818182,76.63636363636364,926.1727272727272,175.36363636363637,1.5090909090909093,359.72727272727275,280.1818181818182,116.0
2019-01-07,1,2019-01-07,8.73,9.120000000000001,67.2,927.3700000000001,149.3,1.38,400.8,281.7,100.1
2019-01-08,1,2019-01-08,9.772727272727273,12.463636363636363,62.36363636363637,925.1272727272728,137.72727272727272,1.8363636363636362,126.27272727272727,165.54545454545453,124.27272727272727
2019-01-09,1,2019-01-09,9.80909090909091,7.572727272727272,63.63636363636363,924.6909090909089,243.0,1.8363636363636366,644.0909090909091,329.0,62.18181818181818
2019-01-10,1,2019-01-10,8.72,11.66,63.0,923.49,28.9,1.7899999999999998,0.5,114.6,114.3
2019-01-11,1,2019-01-11,8.454545454545455,15.027272727272726,84.54545454545455,925.9636363636363,70.45454545454545,1.481818181818182,0.0,59.09090909090909,59.09090909090909
2019-01-12,1,2019-01-12,8.072727272727274,15.345454545454544,92.72727272727273,924.3454545454547,133.8181818181818,1.9272727272727272,0.0,40.18181818181818,40.18181818181818
2019-01-13,1,2019-01-13,7.645454545454545,5.109090909090909,74.72727272727273,928.6272727272728,122.27272727272727,1.1090909090909091,492.54545454545456,318.54545454545456,95.63636363636364
2019-01-14,1,2019-01-14,7.2727272727272725,3.390909090909091,58.63636363636363,927.2454545454548,197.9090909090909,2.3545454545454545,311.8181818181818,269.8181818181818,138.72727272727272
2019-01-15,1,2019-01-15,9.654545454545456,8.572727272727272,51.45454545454545,924.8636363636364,135.0909090909091,1.2454545454545454,361.8181818181818,285.54545454545456,105.45454545454545
2019-01-16,1,2019-01-16,10.745454545454546,11.727272727272727,59.45454545454545,924.7454545454544,85.0,1.3181818181818181,63.81818181818182,71.0,55.36363636363637
2019-01-17,1,2019-01-17,10.5,6.172727272727273,64.63636363636364,925.4181818181819,187.0909090909091,1.8181818181818181,641.9090909090909,344.1818181818182,69.0
2019-01-18,1,2019-01-18,9.31818181818182,14.654545454545454,67.36363636363636,925.4000000000001,145.45454545454547,1.6090909090909093,2.090909090909091,63.27272727272727,63.09090909090909
2019-01-19,1,2019-01-19,9.990909090909092,20.181818181818183,85.72727272727273,925.8818181818183,32.18181818181818,1.5636363636363635,14.909090909090908,153.1818181818182,145.72727272727272
2019-01-20,1,2019-01-20,10.51818181818182,18.599999999999998,84.27272727272727,924.3909090909092,72.27272727272727,2.1363636363636362,0.0,38.0,38.0
2019-01-21,1,2019-01-21,8.854545454545455,18.172727272727272,96.54545454545455,921.5727272727272,126.0,0.9454545454545454,0.0,11.909090909090908,11.909090909090908
2019-01-22,1,2019-01-22,8.218181818181817,14.127272727272725,92.81818181818181,919.0272727272727,110.0,1.1181818181818182,0.0,11.909090909090908,11.909090909090908
2019-01-23,1,2019-01-23,8.727272727272727,9.709090909090909,70.63636363636364,925.0636363636363,136.8181818181818,1.4909090909090907,413.09090909090907,320.8181818181818,123.54545454545455
2019-01-24,1,2019-01-24,8.109090909090908,10.718181818181819,73.63636363636364,928.1727272727272,57.27272727272727,1.6818181818181819,353.45454545454544,304.27272727272725,136.27272727272728
2019-01-25,1,2019-01-25,7.590909090909091,9.1,73.9090909090909,925.8090909090911,111.54545454545455,0.9272727272727272,236.0909090909091,245.36363636363637,143.27272727272728
2019-01-26,1,2019-01-26,8.036363636363635,7.9818181818181815,65.54545454545455,929.7363636363636,248.0,1.2090909090909092,514.7272727272727,347.72727272727275,103.81818181818181
2019-01-27,1,2019-01-27,8.154545454545454,4.5636363636363635,57.90909090909091,925.1636363636363,219.27272727272728,1.6818181818181819,621.0909090909091,368.3636363636364,87.18181818181819
2019-01-28,1,2019-01-28,8.672727272727272,4.545454545454545,53.72727272727273,925.0545454545453,188.1818181818182,1.8999999999999995,533.9090909090909,345.09090909090907,95.72727272727273
2019-01-29,1,2019-01-29,9.063636363636364,8.3,48.81818181818182,922.9181818181819,136.36363636363637,1.3090909090909093,348.0,306.8181818181818,129.45454545454547
2019-01-30,1,2019-01-30,7.936363636363635,17.754545454545454,75.9090909090909,922.5727272727272,22.727272727272727,1.8363636363636362,1.0,46.36363636363637,45.81818181818182
2019-01-31,1,2019-01-31,7.345454545454547,16.09090909090909,92.63636363636364,921.9000000000001,79.0,2.4727272727272727,0.0,42.72727272727273,42.72727272727273
2019-02-01,2,2019-02-01,9.572727272727272,12.745454545454544,74.0,923.0909090909089,94.18181818181819,0.7272727272727272,144.72727272727272,260.1818181818182,183.0
2019-02-02,2,2019-02-02,10.936363636363636,10.399999999999999,59.72727272727273,922.472727272727,215.27272727272728,1.5545454545454547,430.3636363636364,349.45454545454544,130.1818181818182
2019-02-03,2,2019-02-03,12.272727272727273,9.118181818181817,57.36363636363637,923.3454545454543,185.9090909090909,1.6909090909090911,548.9090909090909,371.54545454545456,107.9090909090909
2019-02-04,2,2019-02-04,12.209090909090907,10.972727272727274,60.63636363636363,923.8272727272728,59.54545454545455,1.4636363636363634,0.9090909090909091,75.27272727272727,75.18181818181819
2019-02-05,2,2019-02-05,12.454545454545455,17.036363636363635,70.54545454545455,920.9181818181819,131.0909090909091,1.3181818181818183,9.545454545454545,107.63636363636364,101.63636363636364
2019-02-06,2,2019-02-06,8.636363636363637,8.418181818181818,70.9090909090909,916.5818181818181,57.90909090909091,1.3181818181818181,10.545454545454545,66.0,59.36363636363637
2019-02-07,2,2019-02-07,9.454545454545455,9.136363636363637,70.18181818181819,912.218181818182,219.54545454545453,1.5090909090909088,0.0,81.81818181818181,81.81818181818181
2019-02-08,2,2019-02-08,8.154545454545454,12.109090909090908,80.27272727272727,921.9090909090908,137.9090909090909,2.0454545454545454,353.0,323.45454545454544,136.1818181818182
2019-02-09,2,2019-02-09,10.181818181818182,5.927272727272728,58.36363636363637,921.8454545454543,187.8181818181818,1.7909090909090908,587.1818181818181,391.54545454545456,97.0909090909091
2019-02-10,2,2019-02-10,11.79090909090909,6.9818181818181815,50.81818181818182,922.6636363636364,172.1818181818182,1.2272727272727273,650.8181818181819,414.90909090909093,85.27272727272727
2019-02-11,2,2019-02-11,13.590909090909088,11.7,54.90909090909091,923.8727272727273,167.63636363636363,0.881818181818182,426.8181818181818,348.0,120.0
2019-02-12,2,2019-02-12,11.600000000000001,17.263636363636365,67.36363636363636,924.6181818181817,22.181818181818183,1.8181818181818181,0.0,41.0,41.0
2019-02-13,2,2019-02-13,12.536363636363637,19.28181818181818,76.81818181818181,924.4000000000001,33.63636363636363,2.2545454545454544,1.6363636363636365,77.36363636363636,77.27272727272727
2019-02-14,2,2019-02-14,9.936363636363636,18.645454545454545,89.18181818181819,917.9454545454545,54.36363636363637,1.8454545454545452,0.09090909090909091,24.363636363636363,24.363636363636363
