#Meteo hourly data
#Site, Solcast_site_73.047885_33.68442
#Country, Pakistan
#Data Source, Solcast https://solcast.com
#Time step, 1
#Latitude, 33.6844
#Longitude, 73.0479
#Altitude, 519
#Time Zone, 4.0
Year,Month,Day,Hour,Minute,Tamb,Cloudopacity,DHI,DNI,GHI,Pw,Pressure,WindDir,WindVel,Zenith
Year,Month,Day,Hour,Minute,[deg C],[%],[W/m2],[W/m2],[W/m2],[cm],[mbar],[degree],[m/s],[degree]
2019,1,1,0,0,1.8,62.2,0,0,0,0.97,927.1,34,1.7,159
2019,1,1,1,0,1.7,57.4,0,0,0,1.0,926.8,36,1.6,148
2019,1,1,2,0,1.9,54.6,0,0,0,1.04,926.5,38,1.6,135
2019,1,1,3,0,2.1,50.4,0,0,0,1.09,926.2,40,1.5,123
2019,1,1,4,0,2.5,61.0,0,0,0,1.12,926.2,42,1.5,111
2019,1,1,5,0,3.0,45.1,0,0,0,1.15,926.5,45,1.5,99
2019,1,1,6,0,3.6,28.1,9,11,10,1.18,926.7,48,1.4,88
2019,1,1,7,0,5.2,50.8,79,0,79,1.23,926.9,53,1.4,77
2019,1,1,8,0,8.1,70.0,89,0,89,1.3,927.1,60,1.4,69
2019,1,1,9,0,10.9,52.7,199,0,199,1.36,927.2,67,1.5,62
2019,1,1,10,0,12.5,63.8,173,0,173,1.43,926.8,76,1.4,58
2019,1,1,11,0,13.1,81.7,89,0,89,1.49,925.8,90,1.3,57
2019,1,1,12,0,13.6,72.9,117,0,117,1.55,924.9,104,1.4,60
2019,1,1,13,0,13.5,68.9,104,0,104,1.6,924.5,113,1.5,66
2019,1,1,14,0,12.9,57.7,76,0,76,1.63,924.6,117,1.8,74
2019,1,1,15,0,12.3,57.5,27,0,27,1.65,924.8,120,2.1,84
2019,1,1,16,0,11.4,85.9,0,0,0,1.68,925.0,113,2.1,95
2019,1,1,17,0,10.1,86.0,0,0,0,1.71,925.2,93,2.0,106
2019,1,1,18,0,8.9,86.0,0,0,0,1.73,925.4,72,2.1,119
2019,1,1,19,0,8.2,86.0,0,0,0,1.76,925.5,62,2.2,131
2019,1,1,20,0,8.1,86.0,0,0,0,1.8,925.4,60,2.1,143
2019,1,1,21,0,7.9,86.0,0,0,0,1.83,925.3,58,2.1,156
2019,1,1,22,0,7.9,88.4,0,0,0,1.85,925.2,59,2.1,166
2019,1,1,23,0,7.9,85.9,0,0,0,1.86,925.0,63,2.3,168
2019,1,2,0,0,7.9,83.8,0,0,0,1.87,924.8,66,2.5,159
2019,1,2,1,0,7.6,57.3,0,0,0,1.86,924.8,68,2.5,148
2019,1,2,2,0,7.0,57.0,0,0,0,1.83,925.1,71,2.3,135
2019,1,2,3,0,6.5,53.5,0,0,0,1.8,925.3,74,2.2,123
2019,1,2,4,0,6.3,2.3,0,0,0,1.76,925.7,76,2.0,111
2019,1,2,5,0,6.5,31.2,0,0,0,1.72,926.1,78,1.8,99
2019,1,2,6,0,6.7,37.6,16,3,17,1.68,926.5,81,1.6,88
2019,1,2,7,0,7.0,0.0,95,110,122,1.64,926.9,89,1.6,77
2019,1,2,8,0,7.4,0.6,170,235,257,1.6,927.4,100,1.9,69
2019,1,2,9,0,7.8,16.2,237,174,319,1.55,927.9,108,2.2,62
2019,1,2,10,0,8.1,39.6,263,40,285,1.5,927.9,115,2.2,58
2019,1,2,11,0,8.5,0.4,213,515,493,1.44,927.4,122,2.0,57
2019,1,2,12,0,8.8,0.0,189,531,455,1.38,927.0,131,1.8,60
2019,1,2,13,0,9.3,0.0,141,546,364,1.31,926.9,133,1.5,66
2019,1,2,14,0,9.9,0.0,97,430,218,1.22,927.1,122,1.0,74
2019,1,2,15,0,10.6,0.0,40,174,65,1.13,927.3,93,0.6,84
2019,1,2,16,0,10.3,0.0,0,0,0,1.07,927.7,62,0.6,95
2019,1,2,17,0,9.1,0.0,0,0,0,1.03,928.3,53,0.8,106
2019,1,2,18,0,7.9,0.0,0,0,0,0.99,928.9,47,0.9,118
2019,1,2,19,0,7.0,0.0,0,0,0,0.95,929.2,43,1.0,131
2019,1,2,20,0,6.5,0.0,0,0,0,0.92,929.3,39,1.0,143
2019,1,2,21,0,6.1,0.0,0,0,0,0.9,929.4,34,0.9,155
2019,1,2,22,0,5.7,0.0,0,0,0,0.87,929.6,31,1.0,166
2019,1,2,23,0,5.4,0.0,0,0,0,0.84,929.7,30,1.2,168
2019,1,3,0,0,5.1,0.0,0,0,0,0.82,929.8,29,1.4,159
2019,1,3,1,0,4.7,0.0,0,0,0,0.79,929.6,28,1.5,148
