PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,1.5,0.0,0,0,0,9.3,83.1,929.6,31,2.1,99
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,1.6,8.1,21,16,23,9.1,80.9,929.9,31,2.2,88
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,3.5,15.4,99,178,148,8.9,75.9,930.1,28,2.2,77
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,7.1,0.0,112,599,333,8.9,68.8,930.2,23,2.0,68
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,10.7,0.0,129,707,464,8.8,62.6,930.3,15,1.8,62
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,13.1,0.0,126,784,544,8.9,57.0,929.9,2,1.6,58
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,14.4,0.0,120,808,557,9.0,51.7,929.1,341,1.5,57
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,15.6,0.0,114,782,504,9.2,47.0,928.3,319,1.6,60
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,15.7,0.0,116,650,382,9.3,46.8,927.8,308,1.8,66
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,14.6,0.0,88,498,226,9.3,51.0,927.6,305,1.9,74
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,13.5,0.0,37,200,65,9.3,55.6,927.4,301,2.0,84
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,11.9,0.0,0,0,0,9.2,60.9,927.5,312,1.9,95
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,9.6,0.0,0,0,0,9.2,67.0,927.8,338,1.8,107
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,7.3,0.0,0,0,0,9.1,73.9,928.1,0,2.2,119
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,5.6,0.0,0,0,0,9.1,78.8,928.2,12,2.3,131
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,4.5,32.9,0,0,0,9.1,81.3,928.0,19,2.2,144
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,3.4,57.9,0,0,0,9.2,83.9,927.8,27,2.0,156
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,2.6,45.5,0,0,0,9.3,85.4,927.6,32,1.9,166
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,2.2,60.3,0,0,0,9.5,85.8,927.3,33,1.8,168
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,1.8,62.2,0,0,0,9.7,86.1,927.1,34,1.7,159
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,1.7,57.4,0,0,0,10.0,86.1,926.8,36,1.6,148
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,1.9,54.6,0,0,0,10.4,85.8,926.5,38,1.6,135
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,2.1,50.4,0,0,0,10.9,85.4,926.2,40,1.5,123
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,2.5,61.0,0,0,0,11.2,82.9,926.2,42,1.5,111
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,3.0,45.1,0,0,0,11.5,78.4,926.5,45,1.5,99
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,3.6,28.1,9,11,10,11.8,74.2,926.7,48,1.4,88
